Role	                    Email	                Password
Super Admin	            superadmin@eduai.edu	    password123
Pedagogical Admin      	pedago.admin@eduai.edu	    password123
Pedagogical Lead	    pedago.lead@reussite.edu	password123
School Admin (EDUAI)	admin.eduai@eduai.edu   	password123
School Admin (Reussite)	admin.reussite@reussite.edu	password123
Teacher (Maths)	        prof.math@eduai.edu	        password123
Teacher (Francais)	    prof.fr@eduai.edu	        password123
Teacher (Info)	        prof.info@reussite.edu	    password123
Teacher (Sciences)	    prof.sciences@reussite.edu	password123
Student 1	            student1@eduai.edu	        password123
Student 2	            student2@eduai.edu	        password123
Student 3	            student3@eduai.edu	        password123
Student 4	            student1@reussite.edu	    password123
Student 5	            student2@reussite.edu	    password123
Student 6	            student3@reussite.edu	    password123
